Name MC MP
"Bitcoin (Биткоин)" ₽116,595,215,010,990 55.513%
"Ethereum (Эфириум)" ₽38,455,433,251,383 18.309%
"Tether (Тезер)" ₽10,006,542,821,535 4.764%
BNB ₽7,993,175,901,477 3.806%
"Solana (Солана)" ₽6,117,236,150,967 2.913%
USDC ₽2,890,611,593,798 1.376%
XRP ₽2,420,243,665,017 1.152%
"Dogecoin (Догекоин)" ₽1,749,640,985,451 0.833%
"Toncoin (Тонкоин)" ₽1,742,450,277,684 0.830%
"Cardano (Кардано)" ₽1,320,892,516,968 0.629%
"Shiba Inu (Шиба-ину)" ₽1,091,158,161,888 0.520%
"Avalanche (Аваланч)" ₽1,044,688,179,469 0.497%
"TRON (ТРОН)" ₽902,947,688,750 0.430%
"Polkadot (Полькадот)" ₽816,286,650,029 0.389%
"Chainlink (Чейнлинк)" ₽789,513,306,568 0.376%
"Bitcoin Cash (Биткоин-кэш)" ₽749,162,818,723 0.357%
"Uniswap (Юнисвап)" ₽617,773,888,978 0.294%
"NEAR Protocol" ₽546,745,880,673 0.260%
"Polygon (Полигон)" ₽545,194,488,565 0.260%
"Litecoin (Лайткоин)" ₽522,686,443,438 0.249%
"UNUS SED LEO" ₽484,690,916,886 0.231%
Dai ₽475,712,220,792 0.226%
Pepe ₽452,737,877,743 0.216%
"Internet Computer (Интернет-компьютер)" ₽390,507,248,727 0.186%
Kaspa ₽334,637,725,315 0.159%
"Ethereum Classic" ₽333,911,742,361 0.159%
Aptos ₽314,904,076,034 0.150%
Monero ₽291,001,342,480 0.139%
Render ₽287,536,298,904 0.137%
Hedera ₽272,836,976,979 0.130%
Filecoin ₽262,825,229,236 0.125%
Mantle ₽260,774,631,816 0.124%
Stellar ₽255,764,934,750 0.122%
Cosmos ₽250,543,791,232 0.119%
Stacks ₽248,435,912,818 0.118%
OKB ₽244,721,132,350 0.117%
Arbitrum ₽237,348,572,872 0.113%
Cronos ₽232,994,079,693 0.111%
dogwifhat ₽228,828,686,134 0.109%
Immutable ₽227,251,487,859 0.108%
"First Digital USD" ₽226,319,697,663 0.108%
Injective ₽208,018,175,760 0.099%
Sui ₽205,705,664,498 0.098%
Optimism ₽202,731,247,083 0.097%
Maker ₽200,459,817,680 0.095%
"The Graph" ₽199,380,716,511 0.095%
VeChain ₽190,399,444,743 0.091%
Bittensor ₽189,796,226,626 0.090%
Notcoin ₽183,701,326,144 0.087%
FLOKI ₽175,257,319,298 0.083%
"Lido DAO" ₽171,989,070,663 0.082%
Arweave ₽166,555,962,863 0.079%
JasmyCoin ₽161,544,011,897 0.077%
Fantom ₽157,873,864,725 0.075%
Bonk ₽151,010,132,013 0.072%
"Theta Network" ₽150,098,115,725 0.071%
Ondo ₽145,747,044,038 0.069%
"Bitget Token" ₽143,692,967,575 0.068%
THORChain ₽138,883,438,550 0.066%
Celestia ₽137,156,070,023 0.065%
"Brett (Based)" ₽137,530,578,749 0.065%
Core ₽129,519,491,871 0.062%
"Pyth Network" ₽116,773,072,683 0.056%
Aave ₽112,637,650,933 0.054%
Sei ₽112,317,814,846 0.053%
Algorand ₽112,055,108,642 0.053%
Fetch.ai ₽110,817,060,610 0.053%
Jupiter ₽109,139,656,831 0.052%
Starknet ₽107,569,894,974 0.051%
Ethena ₽102,921,757,685 0.049%
Flare ₽102,944,695,941 0.049%
Flow ₽96,691,827,069 0.046%
Gala ₽92,601,454,902 0.044%
Quant ₽89,047,475,690 0.042%
Beam ₽88,604,644,764 0.042%
"KuCoin Token" ₽88,583,447,375 0.042%
"Axie Infinity" ₽86,923,267,545 0.041%
"Bitcoin SV" ₽86,501,647,232 0.041%
"BitTorrent [New]" ₽85,843,714,491 0.041%
ORDI ₽84,994,622,604 0.040%
"dYdX (Native)" ₽80,316,120,063 0.038%
Neo ₽79,734,819,817 0.038%
MultiversX ₽79,784,917,607 0.038%
Chiliz ₽79,454,497,701 0.038%
Pendle ₽77,772,114,884 0.037%
"The Sandbox" ₽77,300,063,632 0.037%
Gnosis ₽76,228,806,238 0.036%
Ronin ₽75,623,321,921 0.036%
Worldcoin ₽74,024,873,447 0.035%
Wormhole ₽72,603,093,477 0.035%
"Akash Network" ₽72,344,198,776 0.034%
GateToken ₽71,024,006,941 0.034%
Tezos ₽70,970,876,031 0.034%
Oasis ₽70,892,292,955 0.034%
SingularityNET ₽70,591,621,992 0.034%
Conflux ₽70,081,721,489 0.033%
"Ethereum Name Service" ₽67,403,500,377 0.032%
Nexo ₽67,024,808,436 0.032%
Livepeer ₽66,265,833,467 0.032%
Mina ₽65,450,710,149 0.031%
